1.499999999999999944e-02,1.386372457906940581e-01
4.499999999999999833e-02,1.484917712282025626e-01
7.499999999999999722e-02,1.623819184528229598e-01
1.049999999999999961e-01,1.797794484406203819e-01
1.350000000000000089e-01,2.002381874676903983e-01
1.649999999999999800e-01,2.233708452890585949e-01
1.950000000000000067e-01,2.488327335261519280e-01
2.249999999999999778e-01,2.763103161280787701e-01
2.550000000000000044e-01,3.055131562589996075e-01
2.850000000000000311e-01,3.361682709676376835e-01
3.150000000000000022e-01,3.680162781654846560e-01
3.449999999999999734e-01,4.008086373877113862e-01
3.750000000000000000e-01,4.343059610063091935e-01
4.050000000000000266e-01,4.682766496130690848e-01
4.349999999999999978e-01,5.024963759573669586e-01
4.649999999999999689e-01,5.367474941390490972e-01
4.949999999999999956e-01,5.708189709122348798e-01
5.250000000000000222e-01,6.045063615571860671e-01
5.550000000000000488e-01,6.376119279292482567e-01
5.849999999999999645e-01,6.699448513788704984e-01
6.149999999999999911e-01,7.013214659654726235e-01
6.450000000000000178e-01,7.315656222962615418e-01
6.749999999999999334e-01,7.605090373814010762e-01
7.049999999999999600e-01,7.879916544157330449e-01
7.349999999999999867e-01,8.138618333871333599e-01
7.650000000000000133e-01,8.379770071399732512e-01
7.950000000000000400e-01,8.602037550916897812e-01
8.249999999999999556e-01,8.804183766633710828e-01
8.549999999999999822e-01,8.985069761856306902e-01
8.850000000000000089e-01,9.143659371747093756e-01
9.149999999999999245e-01,9.279021539809156893e-01
9.449999999999999512e-01,9.390332223872200901e-01
9.749999999999999778e-01,9.476877136375502220e-01
1.004999999999999893e+00,9.538052484975996226e-01
1.034999999999999920e+00,9.573368340854823133e-01
1.064999999999999947e+00,9.582447610726004816e-01
1.094999999999999973e+00,9.565028983077946689e-01
1.124999999999999778e+00,9.520963920355370869e-01
1.154999999999999805e+00,9.450220366067089151e-01
1.184999999999999831e+00,9.352880900949011034e-01
1.214999999999999858e+00,9.229140164276815606e-01
1.244999999999999885e+00,9.079305549300979994e-01
1.274999999999999911e+00,8.903795170983899165e-01
1.304999999999999938e+00,8.703135767721413840e-01
1.334999999999999742e+00,8.477958700504129030e-01
1.364999999999999769e+00,8.229000668591255341e-01
1.394999999999999796e+00,7.957095872976065465e-01
1.424999999999999822e+00,7.663176370061032250e-01
1.454999999999999849e+00,7.348265514252431130e-01
1.484999999999999876e+00,7.013475374623537872e-01
